product_id,detected_at_utc,detected_at,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,source_file,notes
SKL-USD,2025-08-31 00:53:02+00:00,1756601582,0.0317,0.0317634,0.03335157,0.030810497999999995,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PROMPT-USD,2025-08-31 00:54:00+00:00,1756601640,0.18441,0.18477881999999998,0.19401776099999998,0.17923545539999997,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-31 00:54:00+00:00,1756601640,0.005591,0.005602182,0.0058822911,0.00543411654,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
AERO-USD,2025-08-31 00:56:00+00:00,1756601760,1.17589,1.17824178,1.2371538690000001,1.1428945266,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
IP-USD,2025-08-31 01:00:00+00:00,1756602000,8.31,8.32662,8.742951,8.0768214,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
NCT-USD,2025-08-31 01:00:05+00:00,1756602005,0.02057,0.02061114,0.021641697,0.0199928058,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
GRT-USD,2025-08-31 01:02:17+00:00,1756602137,0.0909,0.09108179999999999,0.09563588999999999,0.088349346,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
POLS-USD,2025-08-31 01:07:39+00:00,1756602459,0.215,0.21543,0.22620150000000003,0.20896710000000002,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
BIO-USD,2025-08-31 01:11:19+00:00,1756602679,0.16738,0.16771476,0.176100498,0.16268331719999998,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
AERO-USD,2025-08-31 01:12:00+00:00,1756602720,1.19004,1.19242008,1.252041084,1.1566474776,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
API3-USD,2025-08-31 01:12:01+00:00,1756602721,1.149,1.151298,1.2088629,1.11675906,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 01:12:03+00:00,1756602723,0.08585,0.08602169999999999,0.090322785,0.08344104899999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 01:18:01+00:00,1756603081,0.08818,0.08835636,0.092774178,0.08570566919999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
